,title,company,salary,summary
74,Front-end developer/Begeleider,albert-heijn,€65.000 per jaar,"Hi, wij zijn AH Technology, heruitvinders van food retail.De geschiedenis van Albert Heijn gaat verder terug dan de Wayback Machine."
75,Front-end developer.,MyParcel,€3.215 - €7.040 per maand,Je hebt enkele jaren ervaring als Front-end of Full Stack Developer.Het is handig als je al kennis van docker hebt.Wij groeien en jij groeit met ons mee.
76,Stage front-end development,So Wifi,,"Werken in een klein, leuk en hecht team (6 developers).SO Connect helpt lokale ondernemers met digitale marketing om online gevonden en gekozen te worden."
77,Front-end Developer,PARKEAGLE,,"You will be responsible for building the ‘client-side’ of our web applications.For these clients we optimize parking capacity, counting cars, do temporary…"
78,Sr. Software Developer - GUI Development,ORA Traders,,At least 4 years working experience as software/GUI developer.Building great software requires understanding the problem you’re trying to solve.
79,Full Stack Web Developer (Dashboard) - ReaQta,IBM,,"Our experts and software capabilities help organizations develop applications once and deploy them anywhere, integrate security across the breadth of their IT…"
80,C# .NET Software Developer,Fugro,,"You contribute to all development phases of the product, from design and implementation to maintenance and support of the software;"
81,Software Developer,Validata Group,,Ontwikkelen en bouwen in Mendix.Medeverantwoordelijk voor het hele traject van functioneel ontwerpen tot de oplevering.Kennis van en ervaring met Mendix.
82,nieuwFull Stack Developer,Eurofiber,,"At least 3 years of Experience as a software developer;This means you’ll work on modern software development disciplines such as SOLID and DDD, implementing…"
83,Backend Developer,BrainCreators,,You have experience in enterprise software development and distributed systems.At BrainCreators we’re looking for a superstar Backend Developer to help with…
84,Full Stack Developer,Search X Recruitment,€65.000 - €95.000 per jaar,"Software solutions that make payments possible, software solutions that can review the credit risks, software solutions that can detect fraud."
85,Allround software developer,Bookarang,,"Bookarang heeft ruimte voor een ervaren, allround software developer voor de ontwikkeling van API's, python packages, backends en frontends."
86,Front-End Developer,Hadrian,,Full-time · Amsterdam (on-site).We leverage new cloud technologies to achieve unprecedented scalability.Make a big impact: You’ll help build Hadrian as a best…
87,Full Stack Web Developer (Dashboard),ReaQta,,"We only ask that you have experience with modern javascript development tools and practices.Our team orients itself around principles of empathy, flexibility,…"
88,Python Developer,Talpa Network,,"You have an inexhaustible interest in, a passion for and experience with the magical and fastest growing language Python."
89,"medior Front-end Developer (CSS, HTML, NodeJS)",Qualogy,,Web component expert or similar.Should know the ui component based architecture.Should be familiar with WebComponents meta-specification.
90,Python Developer (junior - medior),Rabobank,,Translating mathematical credit risk models to software solutions in collaboration with model engineers.Imagine that together with a team of specialists you…
91,Front-End Developer,NICE,,"A minimum of 2 years work experience, having build a strong software development background.In short: we make and sell software that helps prevent and uncover…"
92,Software Developer (C++),Ascom,,Implementing software designs from requirements and design specifications.Analyzing requitements of products from a system and software perspective.
93,nieuwBack End Developer Internet Banking,ABN AMRO Bank,,With Design Thinking our development teams research the real problems of our customers and come up with great solutions.Familiar with Agile concept and Scrum.
94,Front-end web developer,Kobalt Digital,,"Na deze stand-up ga je je eigen weg, maar je kunt altijd terugvallen op 2 senior developers; je hebt regelmatig contact met klanten en de meeste uren van de dag…"
95,Frontend Development Internship,myTomorrows,,Developing and maintaining the enterprise-level design system that gets reused in multiple products.Implementing and maintaining key features in various web…
